century,period,group,count
15,'0-'5,,
15,'5-'10,,
15,'10-'15,,
15,'15-'20,,
15,'20-'25,,
15,'25-'30,193.0,0.0
15,'30-'35,165.0,0.0
15,'35-'40,57.0,0.0
15,'40-'45,114.0,0.0
15,'45-'50,183.0,0.0
15,'50-'55,160.0,0.0
15,'55-'60,193.0,0.0
15,'60-'65,170.0,0.0
15,'65-'70,195.0,0.0
15,'70-'75,195.0,0.0
15,'75-'80,189.0,0.0
15,'80-'85,193.0,0.0
15,'85-'90,196.0,0.0
15,'90-'95,195.0,0.0
15,'95-'99,195.0,0.0
16,'0-'5,193.0,0.0
16,'5-'10,191.0,0.0
16,'10-'15,180.0,0.0
16,'15-'20,195.0,0.0
16,'20-'25,195.0,0.0
16,'25-'30,193.0,0.0
16,'30-'35,195.0,0.0
16,'35-'40,191.0,0.0
16,'40-'45,195.0,0.0
16,'45-'50,199.0,0.0
16,'50-'55,176.0,0.0
16,'55-'60,192.0,0.0
16,'60-'65,164.0,0.0
16,'65-'70,157.0,0.0
16,'70-'75,155.0,0.0
16,'75-'80,161.0,0.0
16,'80-'85,161.0,0.0
16,'85-'90,190.0,0.0
16,'90-'95,197.0,0.0
16,'95-'99,156.0,0.0
17,'0-'5,195.0,0.0
17,'5-'10,191.0,0.0
17,'10-'15,192.0,0.0
17,'15-'20,195.0,0.0
17,'20-'25,197.0,0.0
17,'25-'30,195.0,0.0
17,'30-'35,199.0,0.0
17,'35-'40,195.0,0.0
17,'40-'45,195.0,1.0
17,'45-'50,195.0,1.0
17,'50-'55,186.0,1.0
17,'55-'60,195.0,1.0
17,'60-'65,171.0,2.0
17,'65-'70,191.0,0.0
17,'70-'75,195.0,0.0
17,'75-'80,171.0,1.0
17,'80-'85,195.0,0.0
17,'85-'90,199.0,1.0
17,'90-'95,149.0,0.0
17,'95-'99,161.0,0.0
18,'0-'5,98.0,0.0
18,'5-'10,187.0,0.0
18,'10-'15,131.0,0.0
18,'15-'20,179.0,0.0
18,'20-'25,191.0,1.0
18,'25-'30,193.0,0.0
18,'30-'35,195.0,0.0
18,'35-'40,197.0,0.0
18,'40-'45,194.0,0.0
18,'45-'50,199.0,2.0
18,'50-'55,199.0,0.0
18,'55-'60,195.0,1.0
18,'60-'65,195.0,1.0
18,'65-'70,195.0,3.0
18,'70-'75,196.0,2.0
18,'75-'80,193.0,4.0
18,'80-'85,199.0,1.0
18,'85-'90,199.0,1.0
18,'90-'95,199.0,1.0
18,'95-'99,195.0,0.0
19,'0-'5,199.0,1.0
19,'5-'10,196.0,1.0
19,'10-'15,199.0,1.0
19,'15-'20,197.0,3.0
19,'20-'25,197.0,1.0
19,'25-'30,194.0,1.0
19,'30-'35,197.0,1.0
19,'35-'40,199.0,1.0
19,'40-'45,199.0,3.0
19,'45-'50,199.0,3.0
19,'50-'55,193.0,8.0
19,'55-'60,193.0,4.0
19,'60-'65,199.0,3.0
19,'65-'70,194.0,1.0
19,'70-'75,199.0,1.0
19,'75-'80,199.0,2.0
19,'80-'85,199.0,3.0
19,'85-'90,199.0,4.0
19,'90-'95,199.0,5.0
19,'95-'99,199.0,8.0
20,'0-'5,198.0,5.0
20,'5-'10,199.0,3.0
20,'10-'15,199.0,2.0
20,'15-'20,199.0,3.0
20,'20-'25,,
20,'25-'30,,
20,'30-'35,,
20,'35-'40,,
20,'40-'45,,
20,'45-'50,98.0,1.0
20,'50-'55,,
20,'55-'60,,
20,'60-'65,,
20,'65-'70,,
20,'70-'75,,
20,'75-'80,,
20,'80-'85,,
20,'85-'90,,
20,'90-'95,,
20,'95-'99,,
